"SUM_checkouts","publicationyear"
"8","[1984, c2004]"
"2","<1985- >"
"2","[1985-]"
"188","[1985?]"
"3963","[1985]"
"261","©1985."
"5","1985-"
"1154","1985."
"2","1985, ©1937."
"6","[1985], ©1953."
"1","1985, ©1969."
"4","1985, [1973]"
"8","1985, ©1977."
"15","1985, ©1984."
"1","1985-<1991 >"
"467","[1985, 2010]"
"188","[1985, c1957]"
"1","[1985-<c1989 >]"
"10","[1985], p1984]"
"8","[1985, p2006]"
"1","<1986>"
"88","[1986?]"
"3677","[1986]"
"434","©1986."
"2","℗1986."
"99","1986-"
"1693","1986."
"2","[1986?], ©1961."
"76","1986, 1972."
"1","1986, 1980."
"12","1986, ©1982."
"2","1986, ©1983."
"6","1986, ©1985."
"6","<1986-1988>."
"1","1986-1989."
"4","1986-1997."
"3","1986, c1983-1994."
"3","[1986-<c1988 >]"
"8","[1986], p1956]"
"8","[1986, p1976]"
"476","[1987?]"
"5348","[1987]"
"430","©1987."
"41","℗1987."
"1","1987-"
"1922","1987."
"8","1987, ©1963."
"4","[1987], 1969."
"16","[1987], ℗1978."
"1","1987, ©1986."
"3","1987-1989."
"1","1987-1992."
"2","1987-1995."
"6","1987-2006."
"1","1987-2009."
"9","1987, c.1978."
"10","1987, c1985."
"42","1988"
"352","[1988?]"
"4600","[1988]"
"10","[1988]."
"181","©1988."
"78","℗1988."
"2","1988-"
"2110","1988."
"25","1988, ©1950."
"1","1988, 1951."
"59","1988, ©1956."
"15","1988, 1964."
"3","[1988], ©1967."
"15","[1988], ℗1969."
"16","[1988], ℗1974."
"4","1988, 1975."
"21","[1988?], ℗1976."
"16","©1988, ℗1984."
"14","1988, ©1985."
"34","1988, ©1986."
"34","1988, ©1987."
"12","1988, 1987."
"1","1988-1989."
"2","1988-<1991 >"
"3","1988-1991."
"1","1988-89."
"1","[1988, c1984]"
"1","1988, c1987-"
"3","[1988, i.i. 1999]"
"12","[1988], p1966]"
"1","[1988], p1975]"
"3","[1988], p1976]"
"11","[1988, p1985]"
"1","1988 [that is, 1990]"
"4","1989"
"6","<1989>-"
"185","[1989?]"
"5834","[1989]"
"26","©1989."
"128","℗1989."
"63","1989-"
"2934","1989."
"4","[1989], ©1959, ©1922."
"17","©1989, ℗1961."
"18","1989, ©1967."
"10","©1989, ℗1973."
"1","1989, ©1977."
"7","[1989], ©1988."
"17","1989, ©1988."
"1","1989-<1991 >"
"2","1989-<1994>"
"3","[1989, [2000]"
"2","1989, 2001."
"4","1989, c1979."
"1","[198?], c1923."
"1","[198?], c1968."
"94","[199-?]"
"65","[199?]"
"4","©199-?."
"598","[1990?]"
"5809","[1990]"
"15","[1990]."
"187","©1990."
"121","℗1990."
"2","1990-"
"1","1990?."
"3093","1990."
"30","1990, ©1949."
"6","1990, [1961]"
"15","1990, ©1971."
"1","1990, 1971."
"37","[1990], ℗1972."
"15","[1990], ℗1973."
"2","[1990], ©1976."
"28","[1990], ℗1977."
"19","[1990], ℗1985."
"3","1990, ©1988."
"17","1990, ©1989."
"2","1990-<1996>"
"1","1990-<1997>"
"14","[1990, c1945]"
"29","[1990, [c1977]"
"1","[1990], c1978"
"14","[1990, p1971]"
"14","[1990, p1975]"
"27","[1990], p1977]"
"18","[1990, [p1989]"
"5","[1990], p1989]"
"5","1991"
"321","[1991?]"
"6297","[1991]"
"7","[1991]."
"609","©1991."
"41","℗1991."
"3","1991-"
"3508","1991."
"1","1991, 1909."
"18","1991, ©1935."
"4","1991, ©1971."
"5","[1991], ©1975."
"5","1991, ©1976."
"2","1991, ©1983."
"1","1991, ©1988."
"14","1991, ©1990."
"4","1991-<1996 >"
"1","1991-1997."
"11","1991-2009."
"34","[1991;] 2012."
"85","1991, ℗2017."
"32","[1991, c1975]"
"2","[1991], c1987."
"4","1991, c1990."
"18","[1991, p1974]"
